fieldName,displayName,dataType,requiredLevel,isCustom,lastUpdate,picklistValues,mappingSuggested,refForms,refViews,refChartVisualizations,refReports,refDashboards,refWorkflows,refFormulas,refPlugins,refPcfControls,refRelationships,refRibbon,sfObjectName,sfFieldDisplayName,sfFieldApiName,sfSuggestedObjectName,sfSuggestedFieldDisplayName,sfSuggestedFieldApiName
accountid,Account,lookup,none,False,2026-03-22 22:06:40,,true,0,0,0,0,0,0,0,12,0,0,0,,,,Opportunity,Account ID,AccountId
actualclosedate,Actual Close Date,datetime,none,False,2026-03-20 20:16:40,,true,2,27,5,0,0,0,0,1,0,0,0,,,,Opportunity,Close Date,CloseDate
actualvalue,Actual Revenue,money,none,False,2026-03-20 20:16:40,,true,0,15,2,0,0,1,0,0,0,0,0,,,,Opportunity,Actual Revenue,Actual_Revenue__c
actualvalue_base,Actual Revenue (Base),money,none,False,2026-03-20 20:16:40,,true,0,2,0,0,0,0,0,0,0,0,0,,,,Opportunity,Actual Revenue Base,Actual_Revenue_Base__c
azt_accountclassification,Account Classification,picklist,none,True,2026-03-20 21:44:40,"276530000: A, 276530001: B, 276530002: C, 100000001: D, 100000000: E, 276530003: S, 276530004: N/A",true,2,9,0,0,0,2,0,0,0,0,0,Opportunity,CRM Account Classification,CRM_Account_Classification__c,Opportunity,Account Classification,Account_Classification__c
azt_addonopportunitytotal,Add-On Opportunity Total,money,none,True,2026-03-22 22:06:40,,true,2,0,0,0,0,0,1,0,0,0,0,Opportunity,CRM Add On Opportunity Total,CRM_Add_On_Opportunity_Total__c,Opportunity,CRM Initial Opportunity Total,CRM_Initial_Opportunity_Total__c
azt_addonopportunitytotal_base,Add-On Opportunity Total (Base),money,none,True,2026-03-22 22:06:40,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_assignedamid,Assigned AM,lookup,none,True,2026-03-22 22:06:40,,true,1,0,0,0,0,0,0,0,0,1,0,Opportunity,CRM Assigned AM,CRM_Assigned_AM__c,Opportunity,Assigned Am,Assigned_Am__c
azt_committoestimatedclose,Commit to Pipeline?,bit,none,True,2026-03-22 22:06:40,"1: Yes, 0: No",true,1,0,0,0,0,2,0,0,0,0,0,,,,Opportunity,Commit To Pipeline,Commit_To_Pipeline__c
azt_dayssincecreated,Days Since Created,int,none,True,2026-03-22 22:06:40,,true,2,3,0,0,0,0,1,0,0,0,0,,,,Opportunity,Days Since Created,Days_Since_Created__c
azt_dayssinceprobabilitychanged,Days Since Probability Changed,int,none,True,2026-03-22 22:06:40,,true,2,4,0,0,0,0,1,0,0,0,0,Opportunity,CRM Days Since Probability Changed,CRM_Days_Since_Probability_Changed__c,Opportunity,Days Since Probability Changed,Days_Since_Probability_Changed__c
azt_defaultfreightamount,Default Freight Amount,money,none,True,2026-03-22 22:06:40,,true,2,0,0,0,0,0,0,1,0,0,0,Opportunity,CRM Default Freight Amount,CRM_Default_Freight_Amount__c,Opportunity,Freight Amount,Freight_Amount__c
azt_defaultfreightamount_base,Default Freight Amount (Base),money,none,True,2026-03-22 22:06:40,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_deliverytype,Delivery Type,picklist,none,True,2026-03-22 22:06:40,"276530000: Internet, 276530001: LAN, 276530002: Print, 276530003: LAN & Print, 276530004: Internet & Print, 276530005: Internet Year 2, 276530006: Internet Year 3+, 276530007: SA, 276530008: WAN",true,2,0,0,0,0,2,0,0,0,0,0,Opportunity,CRM Delivery Type,CRM_Delivery_Type__c,Opportunity,Delivery Type,Delivery_Type__c
azt_discretionarydiscount,Discretionary Discount,money,none,True,2026-03-22 22:06:40,,true,2,0,0,0,0,0,1,0,0,0,0,Opportunity,CRM Discretionary Discount,CRM_Discretionary_Discount__c,Opportunity,CRM Discretionary Discount,CRM_Discretionary_Discount__c
azt_discretionarydiscount_base,Discretionary Discount (Base),money,none,True,2026-03-22 22:06:40,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_discretionarydiscountamt,Discretionary Discount Amt,money,none,True,2026-02-27 20:44:28,,true,2,0,0,0,0,0,0,2,0,0,0,,,,Opportunity,CRM Discretionary Discount,CRM_Discretionary_Discount__c
azt_discretionarydiscountamt_base,Discretionary Discount Amt (Base),money,none,True,2026-02-27 20:44:28,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_expectedrenewalvalue,Expected Renewal Value,money,none,True,2026-03-20 21:44:40,,true,2,8,0,0,0,0,0,0,0,0,0,,,,Opportunity,Expected Renewal Amount,Expected_Renewal_Amount__c
azt_expectedrenewalvalue_base,Expected Renewal Value (Base),money,none,True,2026-03-20 21:44:40,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_freightamtapproved,Freight Amt Approved?,bit,none,True,2026-03-22 22:06:40,"1: Yes, 0: No",true,2,0,0,0,0,0,0,1,0,0,0,,,,Opportunity,Freight Amt Approved,Freight_Amt_Approved__c
azt_fundingsource,Funding Source,picklist,none,True,2026-03-20 21:44:40,"276530000: Annual Budget, 276530001: Discretionary Budget, 276530002: Grant - Federal, 276530003: Grant - Private, 276530004: Grant - State, 276530005: Grant - Perkins, 276530006: Title 1 Funds, 276530007: Other, 276530008: Use or Lose Funds",true,4,0,0,0,0,2,0,0,0,0,0,Opportunity,Funding Source,Funding_Source__c,Opportunity,Funding Source,Funding_Source__c
azt_historicalowner,Historical Owner,nvarchar,none,True,2026-03-20 15:49:24,,true,0,0,0,0,0,3,0,0,0,0,0,Opportunity,CRM Historical Owner,CRM_Historical_Owner__c,Opportunity,Historical Owner,Historical_Owner__c
azt_initialopportunitytotal,Initial Opportunity Total,money,none,True,2026-03-22 22:06:40,,true,2,0,0,0,0,0,1,0,0,0,0,Opportunity,CRM Initial Opportunity Total,CRM_Initial_Opportunity_Total__c,Opportunity,CRM Initial Opportunity Total,CRM_Initial_Opportunity_Total__c
azt_initialopportunitytotal_base,Initial Opportunity Total (Base),money,none,True,2026-03-22 22:06:40,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_internalaztecnotes,Internal Aztec Notes,ntext,none,True,2026-03-22 22:06:40,,true,1,0,0,0,0,2,0,0,0,0,0,Opportunity,CRM Internal Aztec Notes,CRM_Internal_Aztec_Notes__c,Opportunity,CRM Internal Aztec Notes,CRM_Internal_Aztec_Notes__c
azt_invoicenumber,Invoice Number,nvarchar,none,True,Never,,false,0,0,0,0,0,0,0,0,0,0,0,Opportunity,CRM Invoice Number,CRM_Invoice_Number__c,,,
azt_iscrossselloppty,Is Cross-sell Oppty?,bit,none,True,2026-03-22 22:06:40,"1: Yes, 0: No",true,2,0,0,0,0,0,0,0,0,0,0,Opportunity,Cross-Sell,Cross_Sell__c,Opportunity,Cross-Sell,Cross_Sell__c
azt_lastactivitydate,Last Activity Date,datetime,none,True,2026-03-22 22:06:40,,true,2,1,0,0,0,0,0,1,0,0,0,Opportunity,Legacy Last Activity Date,Legacy_Last_Activity_Date__c,Opportunity,Last Activity,LastActivityDate
azt_lastmodifiedbyid,Last Modified By,lookup,none,True,2026-03-22 22:06:40,,true,2,0,0,0,0,0,0,1,0,1,0,Opportunity,Legacy Modified By,Legacy_Modified_By__c,Opportunity,Last Modified By ID,LastModifiedById
azt_leadsource,Lead Source (Old),picklist,none,True,2026-03-20 16:52:47,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_leadsourceid,Lead Source,lookup,none,True,2026-03-22 22:06:40,,true,1,1,0,0,0,8,0,2,0,1,0,Opportunity,CRM Lead Source,CRM_Lead_Source__c,Opportunity,Lead Source,Lead_Source__c
azt_opportunitynumber,Opp#,nvarchar,none,True,2026-03-22 22:06:40,,true,2,7,0,0,0,0,0,0,0,0,0,Opportunity,CRM Opportunity Number,CRM_Opportunity_Number__c,Opportunity,Opportunity Summary,Opportunity_Summary__c
azt_opportunityproductcategory,Opportunity Product Category,picklist,none,True,2026-03-20 17:38:23,"276530000: P12 & Legacy, 276530001: Kaplan Book, 276530002: GED Flash, 276530003: P12 Prep, 276530004: Legacy, 276530005: APT - Free, 276530006: APT - Paid, 276530007: OPT - Free, 276530008: OPT - Paid, 276530009: Workbooks, 276530010: LSE Booklets",true,2,25,0,0,0,2,0,0,0,0,0,Opportunity,CRM Opportunity Product Category,CRM_Opportunity_Product_Category__c,Opportunity,Opportunity Product Category,Opportunity_Product_Category__c
azt_opportunitytype,Opportunity Type,picklist,none,True,2026-03-22 22:06:40,"276530005: Renewal, 276530004: Initial, 276530002: Print, 276530003: Add-On, 276530001: Vouchers, 276530000: Pilot, 276530008: Professional Development, 276530006: Monthly, 100000000: Win Back, 327630000: Sample, 100000001: PA, 276530007: Other, 327630001: Add On - Reseller",true,4,57,0,0,0,2,0,0,0,0,0,Opportunity,Type,Type,Opportunity,Opportunity Type,Opportunity_Type__c
