fieldName,displayName,dataType,requiredLevel,isCustom,lastUpdate,picklistValues,mappingSuggested,refForms,refViews,refChartVisualizations,refReports,refDashboards,refWorkflows,refFormulas,refPlugins,refPcfControls,refRelationships,refRibbon,sfObjectName,sfFieldDisplayName,sfFieldApiName,sfSuggestedObjectName,sfSuggestedFieldDisplayName,sfSuggestedFieldApiName
azt_activestageid,Active Stage,lookup,required,True,,,true,2,1,0,0,0,1,0,0,0,1,0,,,,,,
azt_ageendedstage,Age Ended Stage,int,none,True,,,true,1,0,0,0,0,0,0,1,0,0,0,,,,,,
azt_changinguserid,Changing User,lookup,none,True,,,true,1,1,0,0,0,1,0,0,0,1,0,,,,,,
azt_dateexitedstage,Date Exited Stage,datetime,none,True,,,true,1,1,0,0,0,0,0,1,0,0,0,,,,,,
azt_name,Name,nvarchar,required,True,,,true,3,12,0,0,0,9,0,18,0,0,0,,,,,,
azt_orderid,Order,lookup,required,True,,,true,2,0,0,0,0,2,0,8,0,1,0,,,,,,
azt_orderstageid,Order Stage,primarykey,systemrequired,False,,,true,0,8,0,0,0,0,0,2,0,0,0,,,,,,
createdby,Created By,lookup,none,False,,,true,0,0,0,0,0,25,0,0,0,1,0,,,,,,
createdon,Date Entered Stage,datetime,none,False,,,true,3,8,0,0,0,7,0,10,0,0,0,,,,,,
createdonbehalfby,Created By (Delegate),lookup,none,False,,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
importsequencenumber,Import Sequence Number,int,none,False,,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
modifiedby,Modified By,lookup,none,False,,,true,0,0,0,0,0,2,0,0,0,1,0,,,,,,
modifiedon,Modified On,datetime,none,False,,,true,0,0,0,0,0,0,0,4,0,0,0,,,,,,
modifiedonbehalfby,Modified By (Delegate),lookup,none,False,,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
overriddencreatedon,Record Created On,datetime,none,False,,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
ownerid,Owner,owner,systemrequired,False,,,true,3,1,0,0,0,24,0,22,0,1,0,,,,,,
owningbusinessunit,Owning Business Unit,lookup,none,False,,,true,0,0,0,0,0,0,0,0,0,1,0,,,,,,
owningteam,Owning Team,lookup,none,False,,,true,0,0,0,0,0,1,0,1,0,1,0,,,,,,
owninguser,Owning User,lookup,none,False,,,true,0,0,0,0,0,0,0,1,0,1,0,,,,,,
statecode,Status,state,systemrequired,False,,,true,0,6,0,0,0,10,0,20,0,0,0,,,,,,
statuscode,Status Reason,status,none,False,,,true,1,0,0,0,0,5,0,6,0,0,0,,,,,,
timezoneruleversionnumber,Time Zone Rule Version Number,int,none,False,,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
utcconversiontimezonecode,UTC Conversion Time Zone Code,int,none,False,,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
