fieldName,displayName,dataType,requiredLevel,isCustom,lastUpdate,picklistValues,mappingSuggested,refForms,refViews,refChartVisualizations,refReports,refDashboards,refWorkflows,refFormulas,refPlugins,refPcfControls,refRelationships,refRibbon,sfObjectName,sfFieldDisplayName,sfFieldApiName,sfSuggestedObjectName,sfSuggestedFieldDisplayName,sfSuggestedFieldApiName
azt_accountid,Account,lookup,required,True,,,true,5,12,0,0,0,10,0,6,0,1,0,,,,,,
azt_activelyusing,Actively Using?,bit,none,True,,"1: Yes, 0: No",true,1,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_activestudents,# Active Students,int,none,True,,,true,1,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_advancedfeaturesenabled,Advanced Features Enabled?,bit,none,True,,"1: Yes, 0: No",true,1,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_category,Category,picklist,none,True,,"327630010: Full Implementation, 327630000: Lite Admin, 327630001: Flash Only, 327630002: Flash Add On, 327630003: ePub, 327630004: Re-Implementation, 327630005: Do Not Track, 327630009: Don't Know, 100000001: 2024, 100000002: 2025, 100000003: 2026, 327630006: 2019, 327630007: 2020, 327630008: 2021, 100000000: 2022, 327630011: 2023",true,1,3,0,0,0,0,0,0,0,0,0,,,,,,
azt_currentcustomersatisfaction,Current Customer Satisfaction,picklist,none,True,,"276530000: Poor, 276530001: Average, 276530002: Good, 276530003: Excellent",false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_dateoftransitioncall,Date of Transition Call,datetime,none,True,,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_enddate,End Date,datetime,none,True,,,true,1,21,0,0,0,0,0,1,0,0,0,,,,,,
azt_engagementid,Engagement,primarykey,systemrequired,False,,,true,0,21,0,0,0,4,0,4,0,2,0,,,,,,
azt_engagementorigin,Engagement Origin,picklist,required,True,,"276530000: Account Manager, 276530001: Client Relations, 276530002: Executive Team, 276530003: FSR, 276530004: New Customer, 276530005: No Usage Report, 276530006: Support, 276530007: Trade Show, 276530008: Webinar",true,1,0,0,0,0,2,0,0,0,0,0,,,,,,
azt_engagementrequestedid,Engagement Requested By,lookup,none,True,,,true,1,0,0,0,0,0,0,0,0,1,0,,,,,,
azt_engagementstatus,Engagement Status,picklist,none,True,,"276530005: Pending Assignment, 276530000: Initiating, 276530001: Planning, 276530002: Training & Documentation, 276530003: Monitoring, 276530004: Hold - Customer Requested, 276530006: Escalated to Management, 276530007: Stalled",true,1,7,0,0,0,1,0,0,0,0,0,,,,,,
azt_engagementtype,Engagement Type,picklist,required,True,,"276530003: Implementation, 100000001: Renewal/Add-On, 100000002: Executive Check In, 276530006: Temperature, 276530004: Migration, 327630000: No Usage, 276530007: Training, 100000000: Reallocation, 276530002: Follow-Up, 327630001: Annual",true,1,6,0,0,0,2,0,0,0,0,0,,,,,,
azt_executivesummary,Executive Summary,ntext,none,True,,,true,1,0,0,0,0,2,0,0,0,0,0,,,,,,
azt_fsradminpassword,FSR Admin Password,nvarchar,none,True,,,true,1,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_fsradminusername,FSR Admin Username,nvarchar,none,True,,,true,1,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_fsrassignedon,FSR Assigned On,datetime,none,True,,,true,1,0,0,0,0,0,0,1,0,0,0,,,,,,
azt_fsrnotes,FSR Notes,ntext,none,True,,,true,1,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_historicalowner,Historical Owner,nvarchar,none,True,,,false,1,0,0,0,0,2,0,0,0,0,0,,,,,,
azt_implementationcallmade,Implementation Call Made?,bit,none,True,,"1: Yes, 0: No",false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_initialemailcommunication,Initial Email Communication?,bit,none,True,,"1: Yes, 0: No",false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_internalexpectationsdocumented,Internal Expectations Documented?,bit,none,True,,"1: Yes, 0: No",false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_lastactivitydate,Last Activity Date,datetime,none,True,,,true,1,2,0,0,0,0,1,1,0,0,0,,,,,,
azt_lastresearchdate,Last Research Date,datetime,none,True,,,true,1,4,0,0,0,0,1,0,0,0,0,,,,,,
azt_lasttrainingdate,Last Training Date,datetime,none,True,,,true,1,10,0,0,0,0,1,0,0,0,0,,,,,,
azt_name,Name,nvarchar,required,True,,,true,3,26,0,0,0,10,0,18,0,0,0,,,,,,
azt_nexttrainingdate,Next Training Date,datetime,none,True,,,true,1,10,0,0,0,0,1,0,0,0,0,,,,,,
azt_numberadmins,# Admins,int,none,True,,,true,1,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_numberofhours,# Hours,int,none,True,,,true,1,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_numberteachers,# Teachers,int,none,True,,,true,1,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_objective,Objective,ntext,recommended,True,,,true,1,0,0,0,0,1,0,0,0,0,0,,,,,,
azt_plansent,Plan Sent?,bit,none,True,,"1: Yes, 0: No",false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_recordownerid,Record Owner,lookup,none,True,,,true,2,25,16,0,0,37,0,9,0,1,0,,,,,,
azt_registeredstudents,Registered Students,int,none,True,,,true,1,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_researchdate,Research Date,datetime,none,True,,,false,1,7,0,0,0,0,0,0,0,0,0,,,,,,
azt_reviewobjectivescomplete,Review Objectives Complete?,bit,none,True,,"1: Yes, 0: No",false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
