fieldName,displayName,dataType,requiredLevel,isCustom,lastUpdate,picklistValues,mappingSuggested,refForms,refViews,refChartVisualizations,refReports,refDashboards,refWorkflows,refFormulas,refPlugins,refPcfControls,refRelationships,refRibbon,sfObjectName,sfFieldDisplayName,sfFieldApiName,sfSuggestedObjectName,sfSuggestedFieldDisplayName,sfSuggestedFieldApiName
acceptingentityid,Accepting Entity,lookup,none,False,,,true,0,0,0,0,0,0,0,0,0,2,0,,,,,,
activityid,Email Message,uniqueidentifier,required,False,,,true,0,11,0,0,0,3,0,7,0,0,0,,,,,,
activitytypecode,Activity Type,entityname,required,False,,,true,0,0,0,0,0,0,0,2,0,0,0,,,,,,
actualend,Actual End,datetime,none,False,,,true,5,31,0,0,0,0,0,0,0,0,0,,,,,,
category,Category,nvarchar,none,False,,,true,0,0,0,0,0,0,0,3,0,0,0,,,,,,
cc,Cc,partylist,none,False,,,true,0,0,0,0,0,1,0,0,0,0,0,,,,,,
correlatedactivityid,Correlated Activity Id,lookup,none,False,,,true,0,0,0,0,0,0,0,0,0,1,0,,,,,,
correlatedsubjectchanged,Correlated subject changed,bit,none,False,,,true,0,0,0,0,0,4,0,0,0,0,0,,,,,,
createdon,Created On,datetime,none,False,,,true,0,0,0,0,0,2,0,10,0,0,0,,,,,,
deliveryprioritycode,Delivery Priority,picklist,none,False,,,true,0,0,0,0,0,10,0,0,0,0,0,,,,,,
description,Description,ntext,none,False,,,true,2,0,0,0,0,10,0,7,0,0,0,,,,,,
descriptionblobid,Description File Id,virtual,none,False,,,true,0,0,0,0,0,0,0,0,0,1,0,,,,,,
directioncode,Direction,bit,none,False,,,true,4,0,0,0,0,10,0,0,0,0,0,,,,,,
followemailuserpreference,Following,bit,none,False,,,true,0,0,0,0,0,10,0,0,0,0,0,,,,,,
from,From,partylist,none,False,,,true,2,0,0,0,0,10,0,2,0,0,0,,,,,,
issafedescriptiontruncated,IsSafeDescriptionTruncated,int,none,False,,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
mimetype,Mime Type,nvarchar,none,False,,,true,0,0,0,0,0,0,0,1,0,0,0,,,,,,
modifiedon,Modified On,datetime,none,False,,,true,0,0,0,0,0,0,0,4,0,0,0,,,,,,
msdyn_emailclassificationcategory,Email Classification Category,lookup,none,True,,,true,0,0,0,0,0,0,0,0,0,1,0,,,,,,
notifications,Notifications,picklist,none,False,,,true,0,0,0,0,0,10,0,0,0,0,0,,,,,,
ownerid,Owner,lookup,required,False,,,true,0,26,16,0,0,0,0,22,0,0,0,,,,,,
prioritycode,Priority,picklist,none,False,,,true,0,0,0,0,0,10,0,0,0,0,0,,,,,,
receivingmailboxid,Receiving Mailbox,lookup,none,False,,,true,0,0,0,0,0,0,0,0,0,1,0,,,,,,
regardingobjectid,Regarding,lookup,none,False,,,true,1,0,0,0,0,14,0,8,0,32,0,,,,,,
related,Related,partylist,none,False,,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
scheduledend,Due Date,datetime,none,False,,,true,0,0,0,0,0,0,0,2,0,0,0,,,,,,
sensitivitylabelid,Sensitivity Label,lookup,none,True,,,true,0,0,0,0,0,0,0,0,0,1,0,,,,,,
senton,Date Sent,datetime,none,False,,,true,1,0,0,0,0,0,0,0,0,0,0,,,,,,
statecode,Activity Status,picklist,required,False,,,true,0,0,0,0,0,0,0,20,0,0,0,,,,,,
statuscode,Status Reason,picklist,none,False,,,true,0,0,0,0,0,2,0,6,0,0,0,,,,,,
subject,Subject,nvarchar,none,False,,,true,3,11,0,0,0,10,0,3,0,0,0,,,,,,
to,To,partylist,none,False,,,true,0,0,0,0,0,10,0,2,0,0,0,,,,,,
transactioncurrencyid,Currency,lookup,none,False,,,true,0,0,0,0,0,9,0,8,0,0,0,,,,,,
